TradeRepublic_Name,L&S_Name,Region,WKN,ISIN,L&S_URL_ID
MSCI EM Small Cap,ISHARES MSCI EM SMALL CAP,Global,A0RGER,IE00B3F81G20,262366
MSCI EM USD (Acc),ISHARES MSCI EMERGING MARKETS,Global,A0RPWJ,IE00B4L5YC18,262363
UK Property,ISHARES UK PROPERTY,UK,A0MZWN,IE00B1TXLS18,380132
MSCI UK Small Cap,CS ETF(IE)MSCI UK SMA.CAP,UK,A0X8R9,IE00B3VWLG82,48068
MSCI UK,CS ETF(IE)ON MSCI UK,UK,A0YEDT,IE00B539F030,42509
Core FTSE 100,ISHARES FTSE100,UK,552752,IE0005042456,99978
Core GBP Corp Bond,ISHARES CORE £ CORPORATE BOND,UK,A0DKL3,IE00B00FV011,380111
FTSE 250,ISHARES FTSE 250,UK,A0CA55,IE00B00FV128,380129
UK Dividend,I-SHAR UK DIVIDEND,UK,A0HGV6,IE00B0M63060,251496
Core UK Gilts,ISHARES CORE UK GILTS,UK,A0LGP9,IE00B1FZSB30,380108
GBP Index-Linked Gilts,ISHARES £ INDEX-LINKED GILTS,UK,A0LGP7,IE00B1FZSD53,380117
FTSE 100,CS ETF(IE)ON FTSE 100,UK,A0YEDM,IE00B53HP851,43961
MSCI Target UK Real Estate,ISHARES MSCI UK REAL ESTATE,UK,A12DPU,IE00BRHZ0398,262375
TA-35 Israel,ISHARES ISRAEL,Israel,A140SM,IE00BP3QZG05,380147
FTSE MIB EUR (Acc),CS ETF(IE)ON FTSE MIB,Italy,A0YEDP,IE00B53L4X51,51944
FTSE MIB EUR (Dist),ISHARES FTSE MIB (DIST),Italy,A0MZWP,IE00B1XNH568,380135
Italy Govt Bond,ISHARES ITALY GOVERNMENT BOND,Italy,A1JXZH,IE00B7LW6Y90,270327
MSCI Brazil USD (Dist),I-SHAR MSCI BRAZIL,Latin America,A0HGWA,IE00B0M63516,251514
MSCI Mexico Capped,CS ETF(IE)ON MSCI MEX.C.,Latin America,A1C1H0,IE00B5WHFQ43,49862
MSCI EM Latin America,ISHARES MSCI EM LATIN AMERICA UC,Latin America,A0NA45,IE00B27YCK28,257187
MSCI South Africa,ISHARES MSCI SOUTH AFRICA UCITS ETF,Middle East and Africa,A0YJ8Y,IE00B52XQP83,83766
AEX,ISHARES AEX,Netherlands,A0HGWF,IE00B0M62Y33,380138
Core S&P 500,CS ETF(IE)ON S+P 500,North America,A0YEDG,IE00B5BMR087,42965
NASDAQ-100 ®,ETF NASDAQ100,North America,A0F5UF,DE000A0F5UF5,42380
S&P 500 Consumer Staples Sector,ISHARES S&P CONSUMER,North America,A142NW,IE00B40B8R38,378467
S&P 500 Industrials Sector,ISHARES S&P INDUSTRIALS,North America,A142N0,IE00B4LN9N13,378464
S&P 500 Information Technology Sector,ISHARES S&P500 INFORMATION TECH.,North America,A142N1,IE00B3WJKG14,196083
Dow Jones U.S. Select Dividend,ISH. DJ U.S. SEL. DIVID.,North America,A0D8Q4,DE000A0D8Q49,43013
S&P 500 Financials Sector,ISHARES S&P500 FINANCIALS SECTOR,North America,A142NY,IE00B4JNQZ49,196107
Edge MSCI USA Quality Factor,ISHARES MSCI USA QLY,North America,A2AP34,IE00BD1F4L37,378461
Corp Bond USD,I-SHAR $ CORP. BOND,North America,911950,IE0032895942,251475
MSCI North America,I-SHAR MSCI NORTH AMERICA,North America,A0J201,IE00B14X4M10,251508
USD Treasury Bond 7-10yr,ISHARES $ TREASURY BOND 7-10YR U,North America,A0LGP4,IE00B1FZS798,257211
USD TIPS,ISHARES TIPS UCITS,North America,A0LGP8,IE00B1FZSC47,46637
MSCI USA Islamic,ISHARES MSCI USA ISLAMIC UCITS E,North America,A0NA48,IE00B296QM64,257199
S&P 500 Consumer Discretionary Sector,ISHARES S&P500 CONSUMER DISCR.,North America,A142NV,IE00B4MCHD36,196119
S&P 500 Materials Sector,ISHARES S&P MATERIALS,North America,A142N2,IE00B4MKCJ84,378446
Dow Jones Industrial Average,CS ETF(IE)ON D.J.IND.AVE,North America,A0YEDK,IE00B53L4350,51995
Edge S&P 500 Minimum Volatility,ISHARES EDGE S&P 500 MIN VOL.,North America,A1J784,IE00B6SPMN59,270717
Edge MSCI USA Size Factor,ISHARES MSCI USA SIZE,North America,A2AP33,IE00BD1F4K20,378470
Edge MSCI USA Value Factor,ISHARES MSCI USA VALUE,North America,A2AP35,IE00BD1F4M44,378452
Edge MSCI USA Momentum Factor,ISHARES MSCI USA MOMENTUM,North America,A2AP36,IE00BD1F4N50,378440
USD TIPS 0-5,ISHARES $ TIPS 0-5,North America,A2DKPQ,IE00BDQYWQ65,454839
USD Intermediate Credit Bond,ISHARES $ INTERMEDIATE,North America,A2DKPP,IE00BDQZ5152,454836
US Equity Buyback Achievers,ISHARES US EQUITY BUYBACKS ACHIEVERS,North America,A12DPR,IE00BQT3VN15,163614
MSCI USA SRI,ISHARES SUST MSCI USA SRI,North America,A2AFC0,IE00BYVJRR92,316867
Core S&P 500,ISHARES S&P 500,North America,622391,IE0031442068,43715
US Property Yield,ISHARES US PROPERTY YIELD UCITS,North America,A0LEW6,IE00B1FZSF77,257196
S&P 500 Energy Sector,ISHARES S&P500 ENERGY SECTOR,North America,A142NX,IE00B42NKQ00,196110
S&P 500 Health Care Sector,ISHARES S&P500 HEALTHCARE SECTOR,North America,A142NZ,IE00B43HR379,196116
US Aggregate Bond,ISHARES US AGGREGATE BOND UCITS,North America,A1JKDK,IE00B44CGS96,257205
USD High Yield Corp Bond,ISHARES $ HIGH YIELD CORP.,North America,A1H5UN,IE00B4PY7Y77,49685
MSCI Canada,CS ETF(IE)ON MSCI CANADA,North America,A0YEDS,IE00B52SF786,49610
USD Corp Bond Intetest Rate Hedged,IS DL C.B.I.R.H.U.ETF DLD,North America,A1W37Y,IE00BCLWRB83,251487
USD Short Duration Corp Bond,ISH USD SHORT BOND,North America,A1W372,IE00BCRY5Y77,154122
USD Short Duration High Yield Corp Bond,ISH USD SHRT DURA. HIGH YIELD,North America,A1W373,IE00BCRY6003,154128
USD Ultrashort Bond,ISH USD ULTRA SHRT BOND,North America,A1W374,IE00BCRY6227,154131
USD Treasury Bond 20+yr,ISHARES TREASURY BOND 20+ YR,North America,A12HL9,IE00BSKRJZ44,154125
Edge MSCI USA Multifactor,ISHARES FACTORSELECT MSCI USA UCITS ETF,North America,A14YN9,IE00BZ0PKS76,163617
Dow Jones Industrial Average,ISH. DJ INDUSTRIAL AVER.,North America,628939,DE0006289390,43571
USD Treasury Bond 1-3yr,I-SHAR $ TREASURY BOND 1-3YR,North America,A0J202,IE00B14X4S71,251478
S&P SmallCap 600,ISHARES S&P SMALL CAP 600,North America,A0Q1YY,IE00B2QWCY14,262369
MSCI USA Small Cap,CS ETF(IE)MSCI USA SM.CAP,North America,A0X8SB,IE00B3VWM098,44474
S&P 500 EUR Hedged (Acc),ISHARES S&P 500 HEDGED,North America,A1C5E9,IE00B3ZW0K18,270705
S&P 500 Utilities Sector,ISHARES S&P UTILITIES,North America,A142N3,IE00B4KBBD01,378449
MSCI USA,CS ETF(IE)ON MSCI USA,North America,A0YEDU,IE00B52SFT06,60233
NASDAQ 100,CS ETF(IE)ON NASDAQ 100,North America,A0YEDL,IE00B53SZB19,48380
MSCI USA Quality Dividend,ISHARES USA DIV IQ,North America,A111YB,IE00BKM4H312,51824
Edge S&P 500 Minimum Volatility,ISHARES EDGE S&P 500 MIN VOLEUR HED,North America,A2AUE8,IE00BYX8XD24,380144
US Mortgage Backend Securities,ISHARES US MORTGAGE BACKED SECURITIES,North America,A2AGYT,IE00BZ6V7883,378509
MSCI Poland,ISHARES MSCI POLAND,Poland,A1H5UP,IE00B4M7GH52,270384
MSCI Russia ADR/GDR,CS ETF(IE)ON MSCI RUSSIA,Russia,A1C1HV,IE00B5V87390,44171
SLI,ISHARES SLI (DE),Switzerland,593396,DE0005933964,43058
Spain Govt Bond,ISHARES SPAIN GOVERNMENT BOND,Spain,A1JXZK,IE00B428Z604,270318
MSCI Turkey,ISHARES MSCI TURKEY UCITS ETF IE,Turkey,A0LEW5,IE00B1FZS574,257202
ATX,ISHARES ATX (DE),Österreich,A0D8Q2,DE000A0D8Q23,52556
3x Long Wheat,ETFS 3X DAILY LONG WHEAT,Commodities,A17X8F,JE00BYQY8102,207537
Soybeans,ETFS SOYBOHNEN,Commodities,A0KRJ7,DE000A0KRJ77,43502
Sugar,ETFS SUGAR,Commodities,A0KRJ8,DE000A0KRJ85,42722
Copper,ETFS COPPER,Commodities,A0KRJU,DE000A0KRJU0,59873
Wheat,OD7S ETFS WHEAT,Commodities,A0KRJ9,DE000A0KRJ93,59906
Physical Precious Metal Basket,ETFS METSEC BSK,Commodities,A0N62H,DE000A0N62H8,47234
Natrual Gas,ETFS NATRUAL GAS,Commodities,A0KRJ3,DE000A0KRJ36,54482
Nickel,NICKEL,Commodities,A0KRJ4,DE000A0KRJ44,54098
ETFS Silver,SILVER,Commodities,A0KRJ5,DE000A0KRJ51,44456
Soybean Oil,ETFS SOYA OIL,Commodities,A0KRJ6,DE000A0KRJ69,50618
Corn,OD7S ETFS CORN,Commodities,A0KRJV,DE000A0KRJV8,53465
WTI Crude Oil,WTICRUDEOIL,Commodities,A0KRJX,DE000A0KRJX4,42656
Gasoline,ETFS GASOLINE,Commodities,A0KRJY,DE000A0KRJY2,48986
Zinc,ZINC,Commodities,A0KRKA,DE000A0KRKA0,54104
Energy,ENERGYDJ-UBSCISM,Commodities,A0KRKD,DE000A0KRKD4,44264
Petroleum,PETROLEUMDJ-UBSCISM,Commodities,A0KRKJ,DE000A0KRKJ1,54425
WTI Oil 2mth,ETF WTI OIL,Commodities,A0KRKN,DE000A0KRKN3,47261
Gold Bullion Securities,GOLDBULLIONSECURITIES,Commodities,A0LP78,DE000A0LP781,46790
Physical Silver,ETFS METSEC SILV,Commodities,A0N62F,DE000A0N62F2,52127
Longer Dated All Commodities,FORWARDALLCOMMODITIESDJ-UBSCI-F3SM,Commodities,A0SVX3,DE000A0SVX34,54863
Longer Dated Industrial Metals,FORWARDINDUSTRIALMETALSDJ-UBSCI-F3SM,Commodities,A0SVX7,DE000A0SVX75,44162
Short Gold,SHORT GOLD,Commodities,A0V9X0,DE000A0V9X09,43241
Short Natrual Gas,SHORTNATRUALGAS,Commodities,A0V9X4,DE000A0V9X41,49847
Short Nickel,SHORTNICKEL,Commodities,A0V9X5,DE000A0V9X58,51332
Short WTI Crude Oil,SHORT CRUDE OIL,Commodities,A0V9XY,DE000A0V9XY2,50954
2x Daily Long Silver,LEVERGAED SILVER,Commodities,A0V9Y5,DE000A0V9Y57,43073
2x Long Copper,ETFS COPPER 2X LONG,Commodities,A0V9YU,DE000A0V9YU8,53417
2x Long Platinum,LEVERGAED PLATINUM,Commodities,A0V9ZC,DE000A0V9ZC3,59678
Physical Swiss Gold,PYHSICALSWISSGOLD,Commodities,A1DCTL,DE000A1DCTL3,58139
Longer Dated Brent Crude,ETFS COM.SEC.Z12/UN.INDEX,Commodities,A1N49Q,DE000A1N49Q4,49205
Agriculture EUR Hedged,EURDAILYHEDGEDAGRICULTUREDJ-UBSEDSM,Commodities,A1NZLJ,DE000A1NZLJ4,49091
WTI Crude Oil EUR Hedged,EURDAILYHEDGEDWTICRUDEOIL,Commodities,A1NZLM,DE000A1NZLM8,52781
Gold EUR Hedged,EURDAILYHEDGEDGOLD,Commodities,A1NZLN,DE000A1NZLN6,53801
Previous Metals EUR Hedged,EURDAILYMEDGEDPRECIOUSMETALDJ-UBSEDSM,Commodities,A1NZLQ,DE000A1NZLQ9,58244
2x Daily Long Natrual Gas,LEVERAGEDNATRUALGAS,Commodities,A2BDED,DE000A2BDED2,249420
Short Industrial Metals,ETFS SHORT INDUSTRIAL ME,Commodities,A0V6ZB,JE00B24DKZ36,91377
3x Short Nickel,ETFS 3X DAILY SHORT NICKEL,Commodities,A2AUT9,JE00BYQY5Q48,207558
3x Long Nickel,ETFS 3X DAILY LONG NICKEL,Commodities,A2AUUA,JE00BYQY5X15,207543
3x Long Sugar,ETFS 3X DAILY LONG SUGAR,Commodities,A2AUT8,JE00BYQY7H96,207516
Aluminum,ALUMINIUM,Commodities,A0KRJS,DE000A0KRJS4,49220
Cotton,COTTON,Commodities,A0KRJW,DE000A0KRJW6,54764
Gold,GOLD,Commodities,A0KRJZ,DE000A0KRJZ9,44450
All Commoditis,ALLCOMMODITIESDJ-UBSCISM,Commodities,A0KRKC,DE000A0KRKC6,56792
Grains,GRAINSDJ-UBSCISM,Commodities,A0KRKF,DE000A0KRKF9,48290
Precious Metals,COMMODITY-PRECIOUSMETALSDJ-UBSCISM,Commodities,A0KRKK,DE000A0KRKK9,57917
Softs,SOFTSDJ-UBSCISM,Commodities,A0KRKL,DE000A0KRKL7,59021
Brent Oil 1 MTH,ETF BRENT OIL,Commodities,A0KRKM,DE000A0KRKM5,42644
Physical Platinum,ETFS METSEC PLAT,Commodities,A0N62D,DE000A0N62D7,57125
Longer Dated Agriculture,FORWARDAGRICULTUREDJ-UBSCI-F3SM,Commodities,A0SVX8,DE000A0SVX83,51464
2x Daily Long Sugar,LEVERGAEDSUGAR,Commodities,A0V9Y8,DE000A0V9Y81,53849
2x Long Coffee,LEVERAGEDCOFFEE,Commodities,A0V9YT,DE000A0V9YT0,52019
2x Long Gold,LEVERAGED GOLD,Commodities,A0V9YZ,DE000A0V9YZ7,43760
Copper EUR Hedged,EURDAILYHEDGEDCOPPER,Commodities,A1NZLL,DE000A1NZLL0,57551
Natrual Gas EUR Hedged,EURDAILYHEDGEDNATRUALGAS,Commodities,A1NZLP,DE000A1NZLP1,49724
Wheat EUR Hedged,EURDAILYHEDGEDWHEAT,Commodities,A1NZLS,DE000A1NZLS5,50729
DJ ex Agriculture and Livestock,ETFS EX-AGRICULTURE AND LIVESTOCK DJ,Commodities,A1RX1P,DE000A1RX1P2,54407
Energy EUR Hedged,ETFS EUR DAILY HEDGED ENERGY,Commodities,A1Y7Y3,DE000A1Y7Y36,80661
2x Daily Long WTI Crude Oil,LEVERAGED CRUDE OIL,Commodities,A2BDEB,DE000A2BDEB6,249414
Diversified Commodity Swap,ISHS VI-DIV.COM.S.U.ETF,Commodities,A2DK6R,IE00BDFL4P12,688468
Heating Oil,ETFS HEATING OIL,Commodities,A0KRJ0,DE000A0KRJ02,47837
Coffee,OD7B ETFS COFFEE,Commodities,A0KRJT,DE000A0KRJT2,57593
Industrials Metals,INDUSTRIALMETALDJ-UBSCISM,Commodities,A0KRKG,DE000A0KRKG7,49511
Physical Gold,ETFS METSEC GOLD,Commodities,A0N62G,DE000A0N62G0,54842
Longer Dated Energy,FORWARDENERGYDJ-UBSCI-F3SM,Commodities,A0SVX4,DE000A0SVX42,43451
Short Silver,SHORT SILVER,Commodities,A0V9X6,DE000A0V9X66,50513
2x Daily Long Agriculture,LEVERAGEDAGRICULTUREDJ-UBSCISM,Commodities,A0V9YG,DE000A0V9YG7,52838
2x Daily Long Corn,LEVERAGEDCORN,Commodities,A0V9YV,DE000A0V9YV6,55064
2x Daily Long Cocoa,ETFS COCOA 2X LONG,Commodities,A0V9ZE,DE000A0V9ZE9,45233
Silver EUR Hedged,EURDAILYHEDGEDSILVER,Commodities,A1NZLR,DE000A1NZLR7,47312
Physical Gold EUR Hedged,EUR DAILY HEDGED PHYSICAL GOLD,Commodities,A1RX99,DE000A1RX996,44348
2x Daily Long Wheat,LEVERAGEDWHEAT,Commodities,A2BDEA,DE000A2BDEA8,249411
2x Daily Long Nickel,LEVERAGEDNICKEL,Commodities,A2BDEC,DE000A2BDEC4,249417
Brent Oil 3yr,ETFS BRENT 3YR,Commodities,A0S6L9,JE00B1YP7409,241053
WTI 3yr,ETFS WTI 3YR,Commodities,A0S6L6,JE00B1YPB936,241056
Short Copper,ETFS SHORT COPPER,Commodities,A0V6YR,JE00B24DK645,91389
Short All Commodities,ETFS SHORT ALL COMMODITI,Commodities,A0V3WV,JE00B24DKT75,91404
2x Long Aluminium,ETFS LEV ALUMINIUM,Commodities,A0V6ZV,JE00B2NFTC05,91359
All Commodities EUR Hedged,ETFS EUR DAILY ALL COMMODITIES,Commodities,A1NZLK,DE000A1NZLK2,56081
Industrial Metal EUR Hedged,ETFS INDU. METAL DAILY HEDGED,Commodities,A1PCKA,JE00B78NPW60,227616
3x Long Coffee,ETFS 3X DAILY LONG COFFEE,Commodities,A17W84,JE00BYQY3Z98,207534
5x Short USD Long EUR,ETFS 5X SHORT USD LONG EUR,Leveraged,A12Z32,DE000A12Z322,45212
5x Long GBP Short EUR,ETFS 5X LONG GBP SHORT EUR,Leveraged,A13X4H,JE00BMM1X163,245256
5x Long USD Short EUR,ETFS 5X LONG USD LONG EUR,Leveraged,A12Z31,DE000A12Z314,42650
MSCI EMU ESG (Dist),ISHSIV-MSCI EMU ESG S.EOD,Savings plan,A2N48C,IE00BFNM3C07,767506
MSCI Europe ESG (Dist),ISHSIV-MSCI EUR ESG S.EOD,Savings plan,A2N48E,IE00BFNM3F38,767512
MSCI USA ESG (Acc),ISHSIV-MSCI USA ESG S.DLA,Savings plan,A2N6TB,IE00BFNM3G45,767515
MSCI USA ESG (Dist),ISHSIV-MSCI USA ESG S.DLD,Savings plan,A2N6TC,IE00BFNM3H51,767518
MSCI World ESG (Acc),ISHSIV-MSCI WLD ESG S.DLA,Savings plan,A2N6TD,IE00BFNM3J75,767521
MSCI Japan ESG (Acc),ISHSIV-MSCI JAP.ESG S.DLA,Savings plan,A2N6TF,IE00BFNM3L97,767527
MSCI Japan ESG (Dist),ISHSIV-MSCI JAP.ESG S.DLD,Savings plan,A2N6TG,IE00BFNM3M05,767530
MSCI World ESG Enhanced (Dist),ISIV-MWEEUETF DLD,Savings plan,A2PDNV,IE00BG11HV38,889455
MSCI Japan ESG Enhanced (Dist),ISIV-MJEEUETF DLD,Savings plan,A2PDNT,IE00BHZPJ346,889482
MSCI Japan ESG Enhanced (Acc),ISHSIV-M.JPN ESC ENH.DLA,Savings plan,A2PCB2,IE00BHZPJ452,889485
MSCI World ESG Enhanced (Acc),ISHSIV-M.WLD ESC ENH.DLA,Savings plan,A2PCB4,IE00BHZPJ569,889488
MSCI Europe ESG Enhanced (Dist),ISHSIV-M.EUR.ESC ENH.EOD,Savings plan,A2PDNW,IE00BHZPJ676,889491
MSCI Europe ESG Enhanced (Acc),ISHSIV-M.EUR.ESC ENH.EOA,Savings plan,A2PCB5,IE00BHZPJ783,889494
MSCI USA ESG Enhanced USD (Acc),ISHSIV-M.USA ESC ENH.DLA,Savings plan,A2PCB3,IE00BHZPJ908,889497
MSCI Saudi Arabia Capped,ISHSIII-MSCI S.A.C.UE DLD,Savings plan,A2PGTG,IE00BJ5JPJ87,889500
MSCI Saudi Arabia Capped (Acc),ISHSIII-MSCI S.A.C.UE DLA,Savings plan,A14ZV2,IE00BYYR0489,889521
Thomson Reuters Inclusion and Diversity,ISHSVI-INC.A.DIV.U.E.DLA,Savings plan,A2DVK8,IE00BD0B9B76,767476
Floating Rate Bond,ISHSII-DL FR BD ETF EOD,Savings plan,A2JBMD,IE00BF5GB717,688501
MSCI Europe ESG (Acc),ISHSIV-MSCI EUR.ESG S.EOA,Savings plan,A2N48D,IE00BFNM3D14,767509
MSCI EM IMI ESG (Dist),ISHSIV-MSCI EM IMI ES.DLD,Savings plan,A2N6TJ,IE00BFNM3N12,767533
MSCI EM IMI ESG (Acc),ISHSIV-MSCI EM IMI ES.DLA,Savings plan,A2N6TH,IE00BFNM3P36,767536
Digital Security (Dist),ISHSIV-DG.SEC. DLD,Savings plan,A2JNYG,IE00BG0J4841,767545
Digital Security (Acc),ISHSIV-DIGITIL.SECUR.DL A,Savings plan,A2JMGE,IE00BG0J4C88,767548
MSCI EM Value Factor,ISHSIV-E.MSCI EM VAL. DLA,Savings plan,A2JJAQ,IE00BG0SKF03,806391
USD Corp Bond 0-3yr (Acc) EUR Hedged,ISHSII-DCB S.0-3Y ETFEOHA,Savings plan,A2N9ZM,IE00BG5QQ390,806394
MSCI Europe SRI (Dist),ISHSII-MSCI EUR.SRI EODIS,Savings plan,A2N9LL,IE00BGDPWW94,889461
Electric Vehicles and Driving Technology,ISHS IV-EL.VEH.+DR.T.DLA,Savings plan,A2N9FP,IE00BGL86Z12,820668
MSCI EMU ESG Enhanced (Dist),ISIV-MEMUEE ETF EOD,Savings plan,A2PDNS,IE00BHZPHZ28,889476
MSCI EMU ESG Enhanced (Acc),ISHSIV-M.EMU ESC ENH.EOA,Savings plan,A2PCB1,IE00BHZPJ015,889479